feature1,feature2,labels
0.044117645597967325,0.09999999999999999,0.0
0.0,0.0,1.0
0.2941176363737038,0.09999999999999999,0.0
0.19117644533629227,0.0,0.0
0.07352939419269265,0.9000000840000134,0.0
0.05882353408650458,0.0,0.0
0.0441176427597324,0.0,0.0
0.10294117116976714,0.0,0.0
0.764705784183404,0.9000000840000134,1.0
0.11764703127595522,0.09999999999999999,0.0
0.3088233829504952,0.0,0.0
0.3529411903278528,0.09999999999999999,0.0
0.22058820528395728,0.0,1.0
0.17647056536245975,0.0,0.0
0.014705879973832495,0.0,1.0
0.11764703127595522,0.20000004200000673,0.0
0.7499999013713364,0.6000000966000154,1.0
0.13235291976449245,0.0,0.0
0.07352939419269265,0.0,0.0
0.07352939419269265,0.09999999999999999,0.0
0.058823522733564906,0.0,0.0
0.029411759947664987,0.0,1.0
0.08823528268122989,0.0,0.0
0.24999997090809212,0.0,0.0
0.17647056536245975,0.5000000798000127,0.0
0.08823528268122989,0.0,0.0
0.26470585939662933,0.20000004200000673,0.0
0.014705868620892827,0.0,0.0
0.10294117116976714,0.20000004200000673,0.0
0.367647010698752,0.0,0.0
0.058823522733564906,0.0,0.0
0.029411757109430076,0.0,0.0
0.044117645597967325,0.0,1.0
0.176470556847755,0.0,0.0
0.08823528268122989,0.0,0.0
0.26470585939662933,0.40000008400001347,0.0
0.2794116059734207,0.0,0.0
0.0735294027073974,0.10000001680000267,0.0
0.10294117116976714,0.09999999999999999,1.0
0.05882353408650458,0.0,0.0
0.029411757109430076,0.0,0.0
0.05882353408650458,0.0,0.0
0.029411757109430076,0.0,0.0
0.11764703127595522,0.0,0.0
0.07352939419269265,0.0,0.0
0.0735294027073974,0.30000004620000736,0.0
0.17647056536245975,0.10000001680000267,0.0
0.044117645597967325,0.09999999999999999,0.0
0.014705868620892827,0.3000000420000067,0.0
0.1029411626550624,0.0,1.0
0.014705868620892827,0.0,0.0
0.014705868620892827,0.0,0.0
0.014705868620892827,0.0,1.0
0.044117645597967325,0.0,1.0
0.014705868620892827,0.0,0.0
0.07352939419269265,0.09999999999999999,0.0
0.2941176363737038,0.3000000420000067,0.0
0.17647056536245975,0.5000000798000127,1.0
0.044117645597967325,0.09999999999999999,0.0
0.23529408241955485,0.0,0.0
0.17647056536245975,0.20000003360000534,0.0
0.38235296730492735,0.09999999999999999,0.0
0.42647049085879324,0.0,0.0
0.08823528268122989,1.0,0.0
0.08823528268122989,0.3000000420000067,0.0
0.029411759947664987,0.0,1.0
0.05882353408650458,0.09999999999999999,0.0
0.11764703127595522,1.0,0.0
0.14705880825302972,0.0,0.0
0.08823528268122989,0.0,0.0
0.0441176427597324,0.0,0.0
0.14705880825302972,0.0,0.0
0.014705879973832495,0.0,0.0
0.0441176427597324,0.0,0.0
0.08823528268122989,0.0,0.0
0.20588232531012476,0.0,1.0
0.19117644533629227,0.0,0.0
0.10294117116976714,0.0,0.0
0.11764703127595522,0.0,0.0
0.029411759947664987,0.0,0.0
0.1470588054147948,0.0,1.0
0.014705879973832495,0.0,0.0
0.029411757109430076,0.0,0.0
0.9999999999999999,0.0,0.0
0.11764703127595522,0.0,0.0
0.23529408241955485,0.0,0.0
0.0,0.0,0.0
0.13235291976449245,0.0,0.0
0.029411757109430076,0.20000004200000673,0.0
0.0735294027073974,0.0,0.0
0.029411759947664987,0.0,0.0
0.0735294027073974,0.30000004620000736,0.0
0.07352939419269265,0.09999999999999999,0.0
0.07352939419269265,0.09999999999999999,0.0
0.823529338137553,0.8000001680000269,1.0
0.07352939419269265,0.0,0.0
0.3529411307249196,0.10000001680000267,1.0
0.11764704262889489,0.0,0.0
0.26470585939662933,0.0,0.0
0.2941176363737038,0.0,0.0
