feature1,feature2,feature3,feature4,feature5
0.021621621356581452,0.14285714285714285,0.0270270266588751,0.015625,0.01196681582842668
0.05945945794816658,0.14285714285714285,0.0,0.5,0.3704573614398104
0.010810810156669123,0.14285714285714285,0.0,0.125,0.020850157599581642
0.021621621356581452,0.14285714285714285,0.0,0.125,0.020850157599581642
0.032432431513250565,0.2857142857142857,0.0,0.125,0.020850157599581642
0.021621621356581452,0.2857142857142857,0.0,0.125,0.020850157599581642
0.10270269961808627,0.14285714285714285,0.0,0.125,0.020850157599581642
0.032432431513250565,0.14285714285714285,0.0,0.015625,0.011746567915099041
0.05945945794816658,0.14285714285714285,0.0,0.015625,0.011746567915099041
0.03783783659158513,0.14285714285714285,0.0,0.015625,0.011746567915099041
0.05945945794816658,0.14285714285714285,0.0,0.015625,0.011746567915099041
0.03783783659158513,0.14285714285714285,0.0,0.015625,0.011746567915099041
0.05945945794816658,0.14285714285714285,0.0,0.015625,0.011746567915099041
0.03783783659158513,0.14285714285714285,0.0,0.015625,0.011746567915099041
0.05945945794816658,0.14285714285714285,0.0,0.015625,0.011746567915099041
0.03783783659158513,0.14285714285714285,0.0,0.015625,0.011746567915099041
0.05945945794816658,0.14285714285714285,0.0,0.015625,0.011746567915099041
0.06486486302650113,0.2857142857142857,0.0270270266588751,0.015625,0.011746567915099041
0.08108107826150482,0.2857142857142857,0.0540540533177502,0.015625,0.011746567915099041
0.09189188946141714,0.2857142857142857,0.0540540533177502,0.015625,0.011746567915099041
0.1135135097747554,0.42857142857142855,0.10810810550036529,0.015625,0.011746567915099041
0.09189188946141714,0.2857142857142857,0.0270270266588751,0.015625,0.011746567915099041
0.07567567318317026,0.14285714285714285,0.0,0.015625,0.011746567915099041
0.0864864843830826,0.5714285714285714,0.08108107884149018,0.1875,0.07025915467123944
0.09189188946141714,0.5714285714285714,0.08108107884149018,0.1875,0.07025915467123944
0.09189188946141714,0.5714285714285714,0.08108107884149018,0.1875,0.07025915467123944
0.027027026434916012,0.14285714285714285,0.0270270266588751,0.015625,0.01196681582842668
0.032432431513250565,0.0,0.0,0.015625,0.01196681582842668
0.021621621356581452,0.14285714285714285,0.0270270266588751,0.015625,0.01196681582842668
0.010810810156669123,0.0,0.0,0.015625,0.01196681582842668
0.021621621356581452,0.0,0.0,0.015625,0.01196681582842668
0.032432431513250565,0.14285714285714285,0.0270270266588751,0.015625,0.01196681582842668
0.16216215756625285,0.14285714285714285,0.1351351321592404,0.171875,0.10146097400927444
0.021621621356581452,0.14285714285714285,0.0,0.109375,0.08611702078425332
0.010810810156669123,0.14285714285714285,0.0,0.109375,0.08611702078425332
0.016216216278246893,0.14285714285714285,0.0,0.109375,0.08611702078425332
0.021621621356581452,0.14285714285714285,0.0,0.109375,0.08611702078425332
0.010810810156669123,0.14285714285714285,0.0,0.109375,0.08611702078425332
0.07027026810483569,0.14285714285714285,0.0,0.109375,0.08611702078425332
0.09189188946141714,0.14285714285714285,0.0,0.109375,0.08611702078425332
0.027027026434916012,0.0,0.0,0.109375,0.08611702078425332
0.032432431513250565,0.0,0.0,0.109375,0.08611702078425332
0.032432431513250565,0.0,0.0,0.109375,0.08611702078425332
