Id,feature1,feature2,feature3,feature4,feature5,labels
1,0.016216217321490103,0.0,0.0,0.046875,0.0028632261439440806,1
2,0.016216216278246893,0.14285714285714285,0.0,0.140625,0.013141472456402346,0
3,0.016216216278246893,0.14285714285714285,0.0,0.265625,0.19580059118935736,0
4,0.03783783972131476,0.2857142857142857,0.02702702211833466,0.171875,0.08119815126505019,0
5,0.016216216278246893,0.14285714285714285,0.0270270266588751,0.125,0.026503192826132328,0
6,0.016216216278246893,0.14285714285714285,0.0,0.171875,0.010057998399130626,0
7,0.10270269961808627,0.14285714285714285,0.0,0.15625,0.0029366415699391625,0
8,0.027027026434916012,0.0,0.0,0.109375,0.011893400402431597,0
9,0.07027026810483569,0.0,0.0,0.0,0.013068057030407263,0
10,0.17837836967152693,0.2857142857142857,0.08108107770635507,0.078125,0.056824027052226334,0
11,0.00540540090536172,0.2857142857142857,0.02702702211833466,0.296875,0.04772043573240134,0
12,0.027027026434916012,0.0,0.0,0.125,0.1057925201205169,0
13,0.11891893154498132,0.2857142857142857,0.0,0.34375,0.3935834790123592,0
14,0.010810809113425912,0.0,0.0,0.140625,0.012774392055742151,0
15,0.06486486302650113,0.2857142857142857,0.10810810550036529,0.1875,0.11805299928826629,0
16,0.04324323749694685,0.42857142857142855,0.05405405558802043,0.46875,0.13985757214386552,0
17,0.16756755325539854,0.14285714285714285,0.05405405558802043,0.015625,0.08971440936486018,0
18,0.027027023305186384,0.14285714285714285,0.16216211000730574,0.03125,0.03369796344597648,0
19,0.016216216278246893,0.14285714285714285,0.0,0.0,0.0009544087146480269,0
20,0.016216216278246893,0.0,0.0,0.15625,0.03252330845334321,0
21,0.00540540090536172,0.14285714285714285,0.0,0.1875,0.17553771774951898,0
22,0.00540540090536172,0.0,0.0,0.15625,0.008369428883162212,0
23,0.03783783972131476,0.14285714285714285,0.0,0.734375,0.05946700201215799,0
24,0.010810809113425912,0.14285714285714285,0.0,0.1875,0.04823434207902452,0
25,0.3189188787568749,0.42857142857142855,0.10810811117604086,0.78125,1.0,0
26,0.00540540090536172,0.2857142857142857,0.05405405558802043,0.375,0.1924968724894428,1
27,0.21621617496581572,0.2857142857142857,0.0,0.0625,0.08251963874501601,0
28,0.00540540090536172,0.14285714285714285,0.0,0.125,0.025548790652853863,0
29,0.027027023305186384,0.0,0.0,0.109375,0.055575950092228404,0
30,0.00540540090536172,0.14285714285714285,0.0,0.125,0.0071213568291914634,0
31,0.016216217321490103,0.0,0.0,0.0,0.03656118631923578,0
32,0.027027026434916012,0.14285714285714285,0.0,0.21875,0.03083473893737479,0
33,0.11891893154498132,0.14285714285714285,0.02702702211833466,0.078125,0.04302180267912911,0
34,0.021621625529554295,0.14285714285714285,0.0,0.15625,0.24924750537512513,0
35,0.1297297260530023,0.14285714285714285,0.0,0.375,0.09096247978348854,0
36,0.032432431513250565,0.14285714285714285,0.05405405558802043,0.046875,0.020042576466238995,0
37,0.05405405391307523,0.2857142857142857,0.0,0.0625,0.006093532688548356,0
38,0.021621621356581452,0.0,0.0,0.421875,0.00961750257247535,0
39,0.1135134711747566,0.0,0.0,0.046875,0.018574251592913434,0
40,0.13513510400701337,0.14285714285714285,0.0,1.0,0.6556786594064878,0
41,0.05945945794816658,0.14285714285714285,0.0270270266588751,0.453125,0.02261214254154514,0
42,0.03783783972131476,0.14285714285714285,0.0,0.140625,0.017766686812994707,0
43,0.027027023305186384,0.2857142857142857,0.02702702211833466,0.265625,0.019748918032943447,0
44,0.00540540090536172,0.0,0.0,0.328125,0.07150722672521019,0
